Availability 30;Availability 60;Availability 90;Availability 365;Accommodates;Bathrooms;Bedrooms;Beds;Price;Cleaning Fee;Guests Included;Neighbourhood Cleansed_mean_encoded;Neighbourhood Group Cleansed_mean_encoded;Room Type_mean_encoded
0;0;0;21;4;1.0;1.0;2.0;85.0;20.0;1;60.342919153553986;72.77179221548025;87.29660587639312
2;2;2;273;6;2.0;2.0;4.0;120.0;60.0;2;82.55238095238096;71.9791013584117;87.29660587639312
6;25;48;323;4;1.0;1.0;1.0;75.0;40.0;2;78.0656192236599;72.77179221548025;87.29660587639312
2;10;23;277;4;1.0;2.0;3.0;95.0;35.0;5;82.51466666666667;72.77179221548025;87.29660587639312
13;36;58;328;4;1.0;0.0;1.0;90.0;40.0;2;78.0656192236599;72.77179221548025;87.29660587639312
6;18;38;298;4;1.0;1.0;2.0;76.0;25.0;2;67.61974944731024;72.77179221548025;87.29660587639312
0;0;0;244;4;1.0;1.0;1.0;70.0;45.0;2;78.0656192236599;72.77179221548025;87.29660587639312
14;44;74;349;4;1.0;1.0;1.0;80.0;0.0;1;101.6;73.31741573033707;87.29660587639312
22;30;60;315;3;1.5;2.0;2.0;39.0;0.0;2;45.75555555555555;51.07333333333333;34.25513598121698
8;25;53;199;5;1.0;1.0;1.0;75.0;0.0;1;67.61974944731024;72.77179221548025;87.29660587639312
20;34;34;34;1;1.0;1.0;2.0;42.0;7.0;1;82.51466666666667;72.77179221548025;34.25513598121698
0;0;6;62;2;4.0;1.0;1.0;25.0;15.0;1;78.0656192236599;72.77179221548025;34.25513598121698
5;5;13;288;4;1.0;2.0;3.0;95.0;30.0;2;78.0656192236599;72.77179221548025;87.29660587639312
0;0;0;122;2;1.0;1.0;2.0;100.0;0.0;1;64.08641975308642;52.2472647702407;87.29660587639312
30;60;90;365;1;2.0;1.0;1.0;80.0;0.0;1;36.0;38.298611111111114;34.25513598121698
11;41;71;346;3;1.0;1.0;2.0;24.0;0.0;1;59.791666666666664;52.2472647702407;34.25513598121698
2;10;16;275;2;1.0;1.0;1.0;40.0;0.0;1;78.0656192236599;72.77179221548025;34.25513598121698
0;0;0;0;2;1.0;1.0;2.0;45.0;12.0;1;52.86641221374046;46.363751584283904;34.25513598121698
8;38;68;343;5;1.0;1.0;4.0;20.0;12.0;1;82.51466666666667;72.77179221548025;34.25513598121698
0;0;4;279;4;1.0;1.0;1.0;130.0;0.0;1;82.51466666666667;72.77179221548025;87.29660587639312
0;0;0;194;3;1.0;2.0;2.0;65.0;60.0;1;72.94174757281553;71.9791013584117;87.29660587639312
0;6;36;92;2;4.0;1.0;1.0;25.0;15.0;1;78.0656192236599;72.77179221548025;34.25513598121698
0;0;3;64;4;1.0;1.0;2.0;50.0;30.0;2;67.61974944731024;72.77179221548025;87.29660587639312
3;3;30;305;3;1.0;1.0;3.0;120.0;50.0;2;87.48611111111111;73.31741573033707;87.29660587639312
3;13;21;275;3;1.0;0.0;2.0;69.0;20.0;2;85.58936170212766;72.77179221548025;87.29660587639312
0;0;0;236;2;0.5;1.0;1.0;29.0;0.0;1;63.89090909090909;73.31741573033707;34.25513598121698
16;38;61;336;3;1.0;1.0;1.0;130.0;0.0;1;67.61974944731024;72.77179221548025;87.29660587639312
0;0;0;0;4;1.0;1.0;1.0;50.0;12.0;2;60.342919153553986;72.77179221548025;87.29660587639312
7;12;23;173;2;2.0;1.0;2.0;45.0;15.0;2;78.0656192236599;72.77179221548025;34.25513598121698
8;20;50;50;1;2.0;1.0;1.0;23.0;5.0;1;52.86641221374046;46.363751584283904;34.25513598121698
8;20;50;325;4;1.0;1.0;2.0;60.0;0.0;2;78.90445859872611;72.77179221548025;87.29660587639312
13;32;57;326;4;1.0;1.0;2.0;125.0;0.0;1;137.16959064327486;85.65113636363637;87.29660587639312
28;58;88;363;2;1.0;1.0;1.0;19.0;10.0;1;28.140350877192983;39.63456090651558;34.25513598121698
7;35;48;300;3;1.5;2.0;2.0;150.0;70.0;1;103.72222222222223;70.86238532110092;87.29660587639312
10;37;67;157;2;1.0;1.0;1.0;25.0;10.0;1;66.7984496124031;85.65113636363637;34.25513598121698
6;22;29;279;4;1.0;1.0;2.0;65.0;20.0;1;67.61974944731024;72.77179221548025;87.29660587639312
0;7;12;191;4;1.0;1.0;2.0;45.0;0.0;1;35.445945945945944;39.63456090651558;87.29660587639312
0;0;0;175;1;1.0;1.0;1.0;16.0;5.0;1;43.65;35.46875;34.25513598121698
0;0;10;10;1;5.0;1.0;1.0;20.0;0.0;1;85.58936170212766;72.77179221548025;34.25513598121698
16;35;53;326;1;1.0;1.0;1.0;10.0;0.0;1;25.107142857142858;33.50632911392405;29.853403141361255
30;60;90;90;2;1.0;1.0;1.0;60.0;30.0;1;85.58936170212766;72.77179221548025;34.25513598121698
7;7;11;99;2;1.0;1.0;1.0;25.0;0.0;1;45.62222222222222;38.298611111111114;34.25513598121698
0;0;0;0;5;1.0;4.0;4.0;65.0;0.0;1;85.58936170212766;72.77179221548025;87.29660587639312
0;0;11;101;5;1.0;3.0;3.0;148.0;40.0;1;67.61974944731024;72.77179221548025;87.29660587639312
4;25;25;25;2;1.0;1.0;1.0;50.0;20.0;1;85.58936170212766;72.77179221548025;34.25513598121698
7;21;41;308;5;2.0;2.0;3.0;121.0;50.0;3;82.39354838709677;71.9791013584117;87.29660587639312
9;29;51;326;4;2.0;2.0;3.0;160.0;0.0;1;78.0656192236599;72.77179221548025;87.29660587639312
30;60;90;365;1;1.0;1.0;1.0;30.0;0.0;1;45.717241379310344;46.363751584283904;34.25513598121698
9;27;54;85;2;1.0;1.0;1.0;50.0;0.0;1;60.342919153553986;72.77179221548025;34.25513598121698
0;0;0;0;4;1.0;2.0;2.0;80.0;0.0;1;58.56521739130435;70.86238532110092;87.29660587639312
5;8;20;225;4;1.0;1.0;3.0;80.0;30.0;2;82.51466666666667;72.77179221548025;87.29660587639312
21;51;81;356;2;1.0;1.0;2.0;18.0;8.0;1;40.07692307692308;39.35897435897436;34.25513598121698
0;16;46;316;2;1.0;2.0;2.0;57.0;15.0;1;65.95817490494296;66.16144578313254;87.29660587639312
8;20;20;293;5;2.0;2.0;4.0;85.0;0.0;4;40.82608695652174;44.23841059602649;87.29660587639312
9;31;59;332;1;1.0;1.0;1.0;24.0;10.0;1;60.342919153553986;72.77179221548025;34.25513598121698
12;42;72;72;1;1.0;1.0;1.0;25.0;0.0;1;56.62637362637363;71.9791013584117;34.25513598121698
2;12;42;317;2;1.0;1.0;1.0;21.0;0.0;1;34.389830508474574;39.63456090651558;34.25513598121698
3;20;40;210;4;1.0;1.0;2.0;75.0;20.0;3;78.90445859872611;72.77179221548025;87.29660587639312
0;0;0;0;2;1.0;1.0;1.0;20.0;0.0;1;50.0;39.63456090651558;34.25513598121698
0;0;0;0;2;1.0;1.0;1.0;40.0;0.0;1;67.61974944731024;72.77179221548025;87.29660587639312
